bus_id,bus_type,state_valid,Vm_stored,Vm_pp,Vm_err,Va_stored,Va_pp,Va_err,Pd_stored,Pd_pp,Pd_err,Qd_stored,Qd_pp,Qd_err,Pg_stored,Pg_pp,Pg_err,Qg_stored,Qg_pp_res,Qg_err_vs_res,sample_idx
0,PQ,True,1.040159,1.040159,0.0,-2.0543,-2.0543,0.0,94.6929,94.6929,0.0,42.8835,42.8835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
1,PQ,True,1.051035,1.051035,0.0,2.124,2.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
2,PQ,True,1.035665,1.035665,0.0,0.4069,0.4069,0.0,202.4066,202.4066,0.0,1.5086,1.5086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
3,PQ,True,1.018236,1.018236,0.0,-0.8902,-0.8902,0.0,348.9412,348.9412,0.0,128.4104,128.4104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
4,PQ,True,1.022473,1.022473,0.0,-0.9808,-0.9808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
5,PQ,True,1.0239,1.0239,0.0,-0.6724,-0.6724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
6,PQ,True,1.018917,1.018917,0.0,-2.0461,-2.0461,0.0,138.525,138.525,0.0,49.7695,49.7695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
7,PQ,True,1.018666,1.018666,0.0,-2.3916,-2.3916,0.0,335.8685,335.8685,0.0,113.6291,113.6291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
8,PQ,True,1.044236,1.044236,0.0,-3.063,-3.063,0.0,4.6841,4.6841,0.0,-47.9935,-47.9935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
9,PQ,True,1.027578,1.027578,0.0,2.3902,2.3902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
10,PQ,True,1.025174,1.025174,0.0,1.3551,1.3551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307
