bus_id,bus_type,state_valid,Vm_stored,Vm_pp,Vm_err,Va_stored,Va_pp,Va_err,Pd_stored,Pd_pp,Pd_err,Qd_stored,Qd_pp,Qd_err,Pg_stored,Pg_pp,Pg_err,Qg_stored,Qg_pp_res,Qg_err_vs_res,sample_idx
0,PQ,True,1.038638,1.038638,0.0,1.4312,1.4312,0.0,50.1761,50.1761,0.0,22.7232,22.7232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
1,PQ,True,1.034625,1.034625,0.0,3.7997,3.7997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
2,PQ,True,1.014548,1.014548,0.0,-0.5629,-0.5629,0.0,440.8897,440.8897,0.0,3.2861,3.2861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
3,PQ,True,0.99461,0.99461,0.0,-1.631,-1.631,0.0,504.3147,504.3147,0.0,185.5878,185.5878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
4,PQ,True,1.001968,1.001968,0.0,-1.5008,-1.5008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
5,PQ,True,1.004518,1.004518,0.0,-1.1091,-1.1091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
6,PQ,True,0.996838,0.996838,0.0,-2.7434,-2.7434,0.0,184.6887,184.6887,0.0,66.3552,66.3552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
7,PQ,True,0.996271,0.996271,0.0,-3.0869,-3.0869,0.0,491.651,491.651,0.0,166.3325,166.3325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
8,PQ,True,1.038283,1.038283,0.0,-0.9419,-0.9419,0.0,6.9046,6.9046,0.0,-70.7454,-70.7454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
9,PQ,True,1.010696,1.010696,0.0,2.5079,2.5079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
10,PQ,True,1.006528,1.006528,0.0,1.2926,1.2926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
11,PQ,True,0.984732,0.984732,0.0,1.6053,1.6053,0.0,11.9653,11.9653,0.0,123.4399,123.4399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33941
